id;title;artist;album;description;s3_bucket;s3_file_path
1;Kangaroo Court;Capital Cities;Unknown;No description;vova/test;Capital_Cities_Kangaroo_Court.mp3
2;Enjoy The Silence;Depeche Mode;Unknown;No description;vova/test;Depeche_Mode_Enjoy_The_Silence.mp3
3;Right Here, Right Now;Fatboy Slim;Unknown;No description;vova/test;Fatboy_Slim_Right_Here_Right_Now.mp3
4;Everything At Once;Lenka;Unknown;No description;vova/test;Lenka_Everything_At_Once.mp3
5;Midnight City;M83;Unknown;No description;vova/test;M83_Midnight_City.mp3
6;We Own The Sky;M83;Unknown;No description;vova/test;M83_We_Own_The_Sky.mp3
7;Kids;MGMT;Unknown;No description;vova/test;MGMT_Kids.mp3
8;Time To Pretend;MGMT;Unknown;No description;vova/test;MGMT_Time_To_Pretend.mp3
9;Porcelain;Moby;Unknown;No description;vova/test;Moby_Porcelain.mp3
10;Black Out Days;Phantogram;Unknown;No description;vova/test;Phantogram_Black_Out_Days.mp3
11;Futuristic Casket;Phantogram;Unknown;No description;vova/test;Phantogram_Futuristic_Casket.mp3
12;When I'm Small;Phantogram;Unknown;No description;vova/test;Phantogram_When_Im_Small.mp3
13;Happy Up Here;Royksopp;Unknown;No description;vova/test;Royksopp_Happy_Up_Here.mp3
14;Brand New Person;Tame Impala;Unknown;No description;vova/test;Tame_Impala_Brand_New_Person.mp3
15;Feels Like We Only Go Backwards;Tame Impala;Unknown;No description;vova/test;Tame_Impala_Feels_Like_We_Only_Go_Backwards.mp3
16;Let It Happen;Tame Impala;Unknown;No description;vova/test;Tame_Impala_Let_It_Happen.mp3
17;The Less I Know The Better;Tame Impala;Unknown;No description;vova/test;Tame_Impala_The_Less_I_Know_The_Better.mp3
18;Swoon;The Chemical Brothers;Unknown;No description;vova/test;The_Chemical_Brothers_Swoon.mp3
19;Mr. Brightside;The Killers;Unknown;No description;vova/test;The_Killers_Mr_Brightside.mp3
20;Intro;The xx;Unknown;No description;vova/test;The_xx_Intro.mp3
21;Run Boy Run (Instrumental);Woodkid;Unknown;No description;vova/test;Woodkid_Run_Boy_Run_Instrumental.mp3
